,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
0,Ottawa,2,2023-09-14 16:46:30,Fair,216.96,0.03,0.35,62.23,0.05,0.5,0.52,0.1
1,Mexico City,3,2023-09-14 16:46:30,Moderate,480.65,3.05,13.2,134.47,43.87,31.07,33.45,0.0
2,Washington,3,2023-09-14 16:46:30,Moderate,257.02,0.48,2.59,103.0,1.65,2.27,2.83,0.54
