,City,airQualityIndex,dateTime,airQualityDescription,Carbon Monoxide (CO),Nitric oxide (NO),Nitrogen dioxide (NO2),Ozone (O3),Sulfur dioxide (SO2),Particulate Matter (PM2.5),Particulate Matter (PM10),Ammonia (NH3)
56,Bangui,1,2023-09-14 16:53:09,Good,273.71,0.0,0.06,0.34,0.01,0.5,0.62,0.07
57,N'Djamena,3,2023-09-14 16:53:10,Moderate,1148.22,0.05,9.43,13.59,3.87,34.81,41.96,11.27
58,Moroni,2,2023-09-14 16:53:10,Fair,263.69,0.0,0.96,62.23,0.46,4.25,7.87,0.82
59,Brazzaville,3,2023-09-14 16:53:11,Moderate,947.95,0.0,10.54,55.79,1.25,40.04,58.66,5.26
60,Kinshasa,3,2023-09-14 16:53:11,Moderate,947.95,0.0,10.54,55.79,1.25,40.04,58.66,5.26
61,Djibouti,4,2023-09-14 16:53:11,Poor,347.14,0.0,1.24,59.37,1.01,44.45,120.16,0.96
62,Cairo,3,2023-09-14 16:53:12,Moderate,223.64,0.0,6.34,113.01,6.74,11.0,22.43,10.01
63,Malabo,1,2023-09-14 16:53:12,Good,383.85,0.0,0.04,36.84,0.12,2.39,3.5,0.0
64,Asmara,5,2023-09-14 16:53:12,Very Poor,247.0,0.0,1.32,54.36,0.47,59.9,250.48,2.09
65,Mbabane,4,2023-09-14 16:53:13,Poor,323.77,0.0,5.31,144.48,34.81,35.22,40.83,1.05
66,Addis Ababa,4,2023-09-14 16:53:13,Poor,1041.41,0.0,10.54,30.76,3.34,32.02,174.2,24.83
67,Libreville,1,2023-09-14 16:53:14,Good,420.57,0.09,1.63,40.77,1.48,4.01,9.33,0.71
68,Banjul,4,2023-09-14 16:53:14,Poor,226.97,0.01,0.1,47.92,0.16,21.27,107.37,0.0
69,Accra,2,2023-09-14 16:53:14,Fair,387.19,0.16,2.1,80.11,4.41,12.23,18.79,0.0
70,Conakry,1,2023-09-14 16:53:15,Good,257.02,0.0,0.12,34.33,0.03,0.5,3.73,0.0
71,Bissau,1,2023-09-14 16:53:15,Good,240.33,0.06,0.57,19.13,0.19,1.12,2.66,1.14
72,Yamoussoukro,1,2023-09-14 16:53:15,Good,310.42,0.09,0.51,17.35,0.18,1.8,3.55,0.68
73,Nairobi,3,2023-09-14 16:53:16,Moderate,1068.12,0.0,16.11,34.69,4.35,36.08,60.11,21.53
74,Maseru,2,2023-09-14 16:53:16,Fair,333.79,0.0,3.94,79.39,1.55,16.55,22.49,2.57
75,Monrovia,1,2023-09-14 16:53:17,Good,337.12,0.04,0.73,47.21,0.65,4.75,6.87,1.01
76,Tripoli,3,2023-09-14 16:53:17,Moderate,293.73,0.07,4.88,137.33,0.81,14.54,44.65,0.0
77,Antananarivo,1,2023-09-14 16:53:17,Good,413.9,0.0,2.27,31.11,2.03,7.31,13.91,6.08
78,Lilongwe,1,2023-09-14 16:53:18,Good,260.35,0.0,0.71,58.65,0.41,2.41,4.75,1.44
79,Bamako,3,2023-09-14 16:53:18,Moderate,247.0,0.01,0.04,17.52,0.02,10.62,64.85,0.16
80,Nouakchott,4,2023-09-14 16:53:18,Poor,263.69,0.04,0.2,55.79,0.41,27.14,144.96,0.63
81,Port Louis,2,2023-09-14 16:53:19,Fair,223.64,0.0,2.68,70.1,2.68,2.15,8.62,0.57
82,Rabat,3,2023-09-14 16:53:19,Moderate,210.29,0.03,0.62,120.16,0.92,11.89,24.93,0.0
83,Maputo,1,2023-09-14 16:53:19,Good,247.0,0.0,0.56,54.36,0.38,3.49,14.25,0.96
84,Windhoek,3,2023-09-14 16:53:20,Moderate,303.75,0.0,0.77,105.86,0.81,17.45,24.22,0.58
85,Niamey,2,2023-09-14 16:53:20,Fair,907.9,0.03,10.11,17.17,3.13,24.13,34.56,10.51
86,Abuja,2,2023-09-14 16:53:21,Fair,694.28,0.91,10.8,26.11,0.78,13.51,18.46,2.47
87,Nyarugenge District,1,2023-09-14 16:53:21,Good,313.76,0.0,1.97,26.11,0.73,4.36,9.43,2.28
88,São Tomé,1,2023-09-14 16:53:21,Good,317.1,0.0,0.09,57.94,0.16,2.84,7.27,0.11
89,Dakar,3,2023-09-14 16:53:22,Moderate,211.95,0.04,0.31,70.81,0.44,13.01,66.48,0.01
90,Victoria,1,2023-09-14 16:53:22,Good,287.06,6.54,15.77,16.45,6.2,9.86,11.71,0.53
91,Freetown,1,2023-09-14 16:53:22,Good,260.35,0.0,0.14,36.12,0.04,0.5,1.35,0.0
92,Mogadishu,1,2023-09-14 16:53:23,Good,203.61,0.0,0.17,33.26,0.22,4.21,17.25,0.13
93,Pretoria,4,2023-09-14 16:53:23,Poor,841.14,0.0,17.14,100.14,19.55,61.95,73.34,7.16
94,Juba City,1,2023-09-14 16:53:23,Good,270.37,0.01,0.96,2.95,0.03,0.58,0.82,0.41
95,Khartoum,4,2023-09-14 16:53:24,Poor,283.72,0.0,1.59,59.37,1.13,43.07,197.53,0.93
96,Dodoma,1,2023-09-14 16:53:24,Good,203.61,0.0,0.48,55.08,0.21,1.21,2.53,0.94
97,Lomé,1,2023-09-14 16:53:25,Good,460.63,0.16,2.04,54.36,1.59,8.87,17.23,2.6
98,Tunis,3,2023-09-14 16:53:25,Moderate,260.35,0.01,5.01,92.98,2.41,33.24,47.36,0.1
99,Kampala,3,2023-09-14 16:53:25,Moderate,727.65,0.02,6.17,13.05,1.65,29.06,47.93,5.89
100,Lusaka,2,2023-09-14 16:53:26,Fair,1361.85,0.0,6.86,47.92,6.38,15.5,23.18,11.65
101,Harare,2,2023-09-14 16:53:26,Fair,527.38,0.0,8.65,70.1,9.42,20.11,25.26,5.13
102,Tiranë,4,2023-09-14 16:53:26,Poor,307.08,0.12,39.07,63.66,4.41,52.33,56.98,7.98
103,Andorra la Vella,1,2023-09-14 16:53:27,Good,168.56,0.12,1.5,57.94,0.2,1.71,2.13,10.51
104,Vienna,2,2023-09-14 16:53:27,Fair,230.31,0.03,2.66,82.25,0.62,2.32,3.01,2.22
105,Minsk,1,2023-09-14 16:53:27,Good,236.99,0.0,3.73,46.49,0.64,5.13,5.24,0.82
106,Brussels,2,2023-09-14 16:53:28,Fair,300.41,2.1,31.53,76.53,3.28,6.78,9.95,8.49
107,City of Sarajevo,2,2023-09-14 16:53:28,Fair,211.95,0.03,5.91,77.96,36.72,6.46,7.02,0.04
108,Sofia,3,2023-09-14 16:44:30,Moderate,195.27,0.0,0.9,103.0,0.92,14.12,16.55,0.49
109,Zagreb,1,2023-09-14 16:53:29,Good,270.37,0.48,19.19,15.56,0.08,4.64,7.17,2.88
110,Nicosia,3,2023-09-14 16:52:52,Moderate,210.29,0.0,0.74,108.72,0.5,3.17,3.98,2.57
111,Prague,2,2023-09-14 16:53:29,Fair,270.37,0.27,10.71,77.25,5.13,3.63,6.17,3.45
112,Copenhagen,2,2023-09-14 16:53:30,Fair,267.03,0.17,7.11,63.66,0.62,1.47,3.01,2.09
113,Tallinn,1,2023-09-14 16:53:30,Good,240.33,0.0,2.55,52.21,0.9,0.52,1.6,0.18
114,Helsinki,1,2023-09-14 16:53:30,Good,350.48,0.15,13.2,21.82,3.22,5.24,8.7,1.38
115,Paris,3,2023-09-14 16:44:33,Moderate,988.01,45.15,67.17,7.06,8.7,40.53,48.16,6.14
116,Berlin,1,2023-09-14 16:53:31,Good,307.08,0.87,25.36,36.12,3.93,4.18,6.03,3.04
117,Athens,4,2023-09-14 16:53:31,Poor,253.68,0.01,17.48,140.19,21.46,14.23,18.5,0.58
118,Budapest,1,2023-09-14 16:53:32,Good,273.71,0.01,16.79,51.5,2.59,6.4,7.69,1.47
119,Reykjavik,1,2023-09-14 16:44:34,Good,223.64,0.02,0.13,57.94,0.28,1.26,4.13,0.12
120,Dublin,1,2023-09-14 16:44:35,Good,247.0,0.2,8.31,50.78,3.43,1.49,3.06,2.03
121,Rome,2,2023-09-14 16:53:33,Fair,303.75,0.24,12.0,80.11,0.69,14.52,18.01,2.76
122,Riga,1,2023-09-14 16:53:33,Good,243.66,0.0,1.46,59.37,0.66,1.05,1.38,0.23
123,Vaduz,1,2023-09-14 16:53:33,Good,216.96,0.04,4.16,57.22,0.74,3.32,3.56,2.25
124,Vilnius,2,2023-09-14 16:53:34,Fair,226.97,0.0,1.69,71.53,0.32,0.95,1.51,0.52
125,Luxembourg,2,2023-09-14 16:44:37,Fair,250.34,12.18,44.55,20.21,0.61,6.02,6.93,9.37
126,Valletta,2,2023-09-14 16:53:34,Fair,205.28,0.02,1.1,90.84,1.16,14.37,19.93,0.46
127,Chișinau,2,2023-09-14 16:53:35,Fair,216.96,0.0,8.65,42.2,2.53,12.15,15.36,4.31
128,Monaco,1,2023-09-14 16:44:38,Good,260.35,0.68,13.2,50.78,1.0,9.35,10.71,0.36
129,Podgorica,3,2023-09-14 16:53:35,Moderate,205.28,0.02,5.66,101.57,4.65,14.11,16.7,4.81
130,Amsterdam,2,2023-09-14 16:53:36,Fair,440.6,95.67,58.95,2.44,2.3,5.76,11.56,11.27
131,Skopje,3,2023-09-14 16:44:39,Moderate,247.0,0.01,10.71,121.59,23.37,29.64,33.85,1.47
132,Oslo,1,2023-09-14 16:53:36,Good,230.31,0.07,8.05,38.62,5.36,1.03,1.56,0.51
133,Warsaw,2,2023-09-14 16:44:39,Fair,240.33,0.02,2.91,74.39,1.71,1.06,1.82,2.12
134,Lisbon,2,2023-09-14 16:53:37,Fair,253.68,0.96,9.94,89.41,2.83,11.09,17.87,3.33
135,Bucharest,2,2023-09-14 16:44:40,Fair,277.04,0.0,8.91,86.55,2.0,12.46,16.1,3.29
136,Moscow,2,2023-09-14 16:53:38,Fair,393.87,1.08,61.01,9.57,27.42,9.51,14.22,3.96
137,City of San Marino,2,2023-09-14 16:53:38,Fair,300.41,0.06,7.88,83.69,0.63,9.95,11.1,8.11
138,Belgrade,2,2023-09-14 16:44:41,Fair,240.33,0.01,4.8,88.69,0.69,5.06,5.84,1.6
139,Bratislava,2,2023-09-14 16:53:39,Fair,230.31,0.04,5.27,65.8,1.06,1.7,2.22,1.38
140,Ljubljana,2,2023-09-14 16:53:39,Fair,253.68,0.03,8.4,64.37,1.79,8.49,10.07,2.31
141,Madrid,3,2023-09-14 16:53:39,Moderate,230.31,0.2,4.8,121.59,0.2,3.38,4.0,1.68
142,Stockholm,1,2023-09-14 16:53:40,Good,310.42,0.43,19.36,24.32,8.11,1.28,3.31,2.09
143,Bern,2,2023-09-14 16:53:40,Fair,220.3,0.02,4.8,83.69,1.67,4.92,5.3,2.63
144,Kyiv,2,2023-09-14 16:53:41,Fair,243.66,0.0,13.88,45.78,3.67,10.41,11.53,0.92
145,London,2,2023-09-14 16:53:41,Fair,273.71,1.76,31.87,63.66,14.66,6.01,9.24,0.76
146,Vatican City,2,2023-09-14 16:53:41,Fair,303.75,0.24,12.0,80.11,0.69,14.52,18.01,2.76
147,Ottawa,2,2023-09-14 16:53:42,Fair,216.96,0.03,0.35,62.23,0.05,0.5,0.52,0.1
148,Mexico City,3,2023-09-14 16:46:30,Moderate,480.65,3.05,13.2,134.47,43.87,31.07,33.45,0.0
149,Washington,3,2023-09-14 16:53:42,Moderate,257.02,0.48,2.59,103.0,1.65,2.27,2.83,0.54
150,Buenos Aires,2,2023-09-14 16:53:43,Fair,297.07,1.62,7.03,72.24,4.95,5.61,6.84,1.52
151,La Paz,3,2023-09-14 16:53:43,Moderate,273.71,0.44,1.54,131.61,1.74,17.36,20.17,2.09
152,Brasília,1,2023-09-14 16:53:43,Good,226.97,0.05,0.35,47.92,0.12,2.93,3.81,0.8
153,Santiago,1,2023-09-14 16:48:04,Good,226.97,0.39,3.3,45.78,0.6,1.77,3.25,6.02
154,Bogota,1,2023-09-14 16:53:44,Good,263.69,0.48,1.59,38.98,0.69,1.66,2.15,0.66
155,Quito,2,2023-09-14 16:53:44,Fair,1615.52,19.67,60.32,26.11,32.42,22.3,24.58,10.13
156,City of Georgetown,2,2023-09-14 16:53:45,Fair,283.72,0.07,0.42,54.36,1.07,5.18,21.63,0.0
157,Asuncion,2,2023-09-14 16:53:45,Fair,327.11,0.1,0.55,80.11,0.66,2.95,8.34,2.88
158,Lima,2,2023-09-14 16:53:45,Fair,257.02,1.44,6.86,57.22,4.47,6.07,23.97,4.02
159,Paramaribo,1,2023-09-14 16:53:46,Good,287.06,0.01,0.03,35.41,0.17,3.08,10.58,0.01
160,Montevideo,2,2023-09-14 16:53:46,Fair,270.37,1.24,3.13,70.81,8.11,3.08,5.24,2.06
161,Caracas,2,2023-09-14 16:53:46,Fair,473.98,4.58,31.87,34.33,52.45,15.08,15.43,0.0
